,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,last_name,first_name,player_id_x,display_team_name,year_x,primary_pos_formatted,fielding_runs_prevented,outs_above_average_x,outs_above_average_infront,outs_above_average_lateral_toward3bline,outs_above_average_lateral_toward1bline,outs_above_average_behind,outs_above_average_rhh,outs_above_average_lhh,age,competitive_runs,bolts,hp_to_1b,sprint_speed,resp_fielder_id,year_y,outs_above_average_y,outs_per_play,rel_league_burst_distance,rel_league_reaction_distance,rel_league_routing_distance,rel_league_bootup_distance,f_bootup_distance,n,n_outs
10,10,10,10,10,10,Albies,Ozzie,645277.0,Braves,,2B,0.4545454545454545,0.4418604651162791,0.7777777777777777,0.3749999999999999,0.4210526315789473,0.4,0.375,0.5555555555555556,0.1904761904761904,0.7003257328990228,0.136986301369863,0.1034482758620689,0.7228915662650603,,,,,,,,,,,
11,11,11,11,11,11,Alcantara,Sergio,642727.0,Cubs,,SS,0.5757575757575757,0.6046511627906976,0.6296296296296295,0.4583333333333333,0.7368421052631579,0.6,0.4375,0.7777777777777777,0.1904761904761904,0.1986970684039088,,0.4741379310344826,0.5783132530120483,,,,,,,,,,,
12,12,12,12,12,12,Alfaro,Jorge,595751.0,Marlins,,LF,0.3333333333333333,0.3488372093023255,0.5185185185185185,0.4166666666666666,0.4736842105263157,0.4,0.34375,0.3888888888888888,0.3809523809523809,0.3029315960912052,,0.396551724137931,0.7228915662650603,,,,,,,,,,,
13,13,13,13,13,13,Alford,Anthony,546990.0,Pirates,,LF,0.4848484848484848,0.4883720930232558,0.5185185185185185,0.4999999999999999,0.5789473684210527,0.6,0.4375,0.5555555555555556,0.2857142857142858,0.0977198697068404,0.0753424657534246,0.146551724137931,0.8674698795180729,0.4284520087606376,0.0,0.5384615384615385,0.467,0.7777777777777777,0.3285714285714285,0.8999999999999999,0.8320000000000001,0.7024793388429749,0.099009900990099,0.1076923076923077
14,14,14,14,14,14,Allen,Greg,656185.0,Yankees,,CF,0.4242424242424242,0.4186046511627906,0.5555555555555556,0.4166666666666666,0.5263157894736842,0.5,0.40625,0.4444444444444444,0.3809523809523809,0.0293159609120521,0.0,,0.6626506024096388,0.8848536271379133,0.0,0.4615384615384615,0.7140000000000001,0.6018518518518517,0.3999999999999999,0.7999999999999999,0.664,0.6280991735537187,0.0198019801980198,0.0769230769230769
15,15,15,15,15,15,Almonte,Abraham,501659.0,Braves,,LF,0.303030303030303,0.3255813953488372,0.5185185185185185,0.4166666666666666,0.4210526315789473,0.3,0.34375,0.3333333333333333,0.5714285714285714,0.1530944625407166,,0.3534482758620689,0.6506024096385543,0.2389823282563994,0.0,0.3076923076923077,0.231,0.5092592592592592,0.4571428571428571,0.7,0.616,0.4214876033057848,0.0792079207920792,0.0461538461538461
16,16,16,16,16,16,Almora Jr.,Albert,546991.0,Mets,,CF,0.4242424242424242,0.4186046511627906,0.5185185185185185,0.4166666666666666,0.5263157894736842,0.5,0.375,0.4444444444444444,0.3333333333333332,0.0488599348534201,,,0.6746987951807233,0.4284561884540152,0.0,0.4230769230769231,0.2,0.5925925925925926,0.3857142857142857,0.7999999999999999,0.648,0.5371900826446279,0.0,0.0153846153846153
17,17,17,17,17,17,Alonso,Pete,624413.0,Mets,,1B,0.4545454545454545,0.4651162790697674,0.7037037037037037,0.2083333333333333,0.7368421052631579,0.4,0.4375,0.4444444444444444,0.2857142857142858,0.5570032573289903,,0.5172413793103443,0.4337349397590362,,,,,,,,,,,
18,18,18,18,18,18,Altuve,Jose,514888.0,Astros,,2B,0.4545454545454545,0.4651162790697674,0.8518518518518519,0.3749999999999999,0.2631578947368421,0.4,0.375,0.611111111111111,0.5238095238095237,0.762214983713355,0.2671232876712328,0.1982758620689648,0.6746987951807233,,,,,,,,,,,
19,19,19,19,19,19,Alvarez,Eddy,657193.0,Marlins,,3B,0.303030303030303,0.3023255813953488,0.4444444444444444,0.3333333333333333,0.5263157894736842,0.5,0.3125,0.3333333333333333,0.5238095238095237,0.0618892508143322,,,0.6746987951807233,,,,,,,,,,,
