,Unnamed: 0,Name,Team,G,GS,IP,SO,BB,K/9,BB/9,HR/9,K/BB,AVG,WHIP,RS/9,ERA,FIP,xFIP,SIERA,WAR,bWAR,aWAR,WPA
54,54,Shane McClanahan,TBR,0.4245141,0.6390904,0.6011849,0.59164345,0.45117536,0.44317842,0.118074186,0.12936671,0.27830878,0.2567024,0.13931035,0.23206471,0.10924669,0.09889592,0.3704591,0.26150092,0.47528687,0.50443804,0.4134014,0.4117388
55,55,Alex Wood,SFG,0.4902701,0.6752673,0.6365695,0.60986936,0.47474378,0.43189445,0.12218249,0.11969275,0.28039023,0.25449228,0.1380658,0.23206471,0.108504996,0.103460915,0.3704591,0.259843,0.5081907,0.5010231,0.42489046,0.42367274
56,56,Alex Cobb,LAA,0.47903237,0.38120326,0.42928115,0.43635547,0.29479605,0.40120324,0.13793759,0.09931165,0.24022086,0.25831595,0.15141642,0.23206471,0.116305806,0.10090619,0.3704591,0.28561535,0.41333207,0.44557926,0.3175691,0.41976023
57,57,John Means,BAL,0.43549895,0.8018636,0.68392694,0.61510116,0.44204015,0.3524483,0.08908567,0.17330292,0.29818943,0.242966,0.12207492,0.23206471,0.104469635,0.114765614,0.3704591,0.31010205,0.48341116,0.53684574,0.43863377,0.41697764
58,58,Jonathan Loaisiga,NYY,0.78401434,0.038490485,0.3185364,0.37116435,0.15750398,0.37067133,0.105382726,0.07347382,0.28975382,0.2086776,0.12049316,0.23206471,0.09429431,0.08297499,0.3704591,0.20791481,0.41823626,0.51303536,0.37405276,0.52294576
59,59,Sonny Gray,CIN,0.41134438,0.71554273,0.6465579,0.6133251,0.53064644,0.44895726,0.13553825,0.12888356,0.21359287,0.24331793,0.14387767,0.23206471,0.11138746,0.10627567,0.3704591,0.29436263,0.47887078,0.488239,0.4047168,0.39444226
60,60,Ryan Pressly,HOU,0.7840141,0.027221976,0.28702322,0.36643878,0.13967696,0.49040723,0.10273563,0.0888709,0.35434023,0.19841732,0.11791893,0.23206471,0.09337317,0.078738086,0.3704591,0.16689947,0.35696226,0.47516692,0.32412678,0.53067535
61,61,Jon Gray,COL,0.44487,0.8176067,0.7136251,0.615919,0.60322714,0.41729304,0.14257143,0.14327222,0.2080601,0.26605564,0.14971873,0.23206471,0.117655195,0.11332915,0.3704591,0.33071688,0.45845726,0.47170287,0.36758247,0.30743498
62,62,Mike Minor,KCR,0.46279722,0.8874782,0.7462697,0.61591905,0.57102656,0.35965723,0.10938332,0.17240155,0.25324208,0.28876603,0.14449166,0.23206471,0.12106971,0.119646706,0.3704591,0.3406161,0.44463062,0.44213867,0.3270364,0.26318073
63,63,Merrill Kelly,ARI,0.45992044,0.8599659,0.73245764,0.61590147,0.5298374,0.31018373,0.10720669,0.14346065,0.230189,0.2929418,0.14614163,0.23206471,0.116510406,0.11310751,0.3704591,0.3584511,0.48210648,0.4572212,0.35842544,0.33597952
64,64,Pablo Lopez,MIA,0.38527814,0.40889558,0.46920127,0.4717795,0.28648165,0.4222718,0.10970221,0.11452763,0.28176737,0.23648305,0.13375326,0.23206471,0.10700356,0.099832796,0.3704591,0.25448263,0.43531442,0.48307282,0.36370668,0.44331586
65,65,Nick Pivetta,BOS,0.4452703,0.8316053,0.735892,0.6159213,0.6150761,0.42673728,0.13808633,0.15464847,0.20283818,0.24882457,0.14311747,0.23206471,0.112313606,0.11215816,0.3704591,0.33707172,0.47579622,0.49716395,0.4095183,0.38209412
66,66,Blake Snell,SDP,0.44470733,0.6910892,0.6130613,0.61536694,0.5637668,0.51727283,0.18096419,0.1388146,0.17823778,0.22913197,0.1501047,0.23206471,0.11437457,0.10832844,0.3704591,0.30877605,0.4331606,0.49495348,0.3668053,0.38695988
67,67,Giovanny Gallegos,STL,0.7840146,0.02583074,0.3730288,0.4576092,0.22553453,0.47402358,0.11663691,0.107855625,0.32344452,0.19635287,0.11944334,0.23206471,0.09539425,0.088710405,0.3704591,0.20525467,0.34330982,0.46214792,0.2893894,0.41994873
68,68,Logan Gilbert,SEA,0.43589753,0.62903684,0.5897992,0.5603556,0.44902584,0.39592275,0.1151562,0.15022601,0.26255068,0.26914015,0.14286785,0.23206471,0.11924544,0.11202179,0.3704591,0.31020716,0.40678754,0.4384647,0.3081311,0.35153398
69,69,Emmanuel Clase,CLE,0.7840145,0.019923314,0.29943848,0.36778948,0.1744302,0.40895674,0.11033441,0.06804585,0.29723927,0.19859086,0.11798771,0.23206471,0.09176958,0.076661035,0.3704591,0.17883375,0.37227356,0.49043575,0.34028184,0.559307
70,70,Craig Kimbrel,- - -,0.78401464,0.021466544,0.27288753,0.45055515,0.21109568,0.64924705,0.14946142,0.10404345,0.31325793,0.16193771,0.11876261,0.23206471,0.092201434,0.08091774,0.3704591,0.16676496,0.36073476,0.48422825,0.32650492,0.51014096
71,71,Tanner Houck,BOS,0.41955167,0.18470547,0.297534,0.35727337,0.19201049,0.4850323,0.13228251,0.10141535,0.27047506,0.22698717,0.14348276,0.23206471,0.11389743,0.09614152,0.3704591,0.24268615,0.3564347,0.41926277,0.2710007,0.377609
72,72,Tyler Anderson,- - -,0.43159732,0.88880545,0.7629968,0.61592084,0.5522098,0.3017245,0.095227,0.16434452,0.25156006,0.28592512,0.13622662,0.23206471,0.113903776,0.11465617,0.3704591,0.36433166,0.49112523,0.46660602,0.3605181,0.31710035
73,73,Scott Barlow,KCR,0.7840146,0.027530113,0.34790233,0.4336776,0.23927572,0.48571727,0.13479896,0.09551853,0.26856625,0.2135697,0.13204998,0.23206471,0.09700906,0.086575784,0.3704591,0.2141289,0.3436014,0.45677042,0.29246604,0.4977802
74,74,Zach Eflin,PHI,0.40521666,0.53805584,0.5076759,0.46824145,0.28376135,0.3484019,0.092815295,0.13243937,0.2895773,0.28883216,0.14208445,0.23206471,0.117654875,0.10527991,0.3704591,0.27797142,0.4030745,0.41911915,0.28466874,0.35685197
