,Unnamed: 0,Name,Team,FLDPos,G,PA,H,HR,R,RBI,SB,BB,AVG,OBP,SLG,OPS,wRC+,wOBA,Bat,WAR,bWAR,aWAR,WPA
20,20,Francisco Lindor,CLE,SS,149.05795270204544,645.5584839582443,169.13787317276,12.999020755290983,78.77220493555068,86.03020042181015,27.80979609489441,38.72070872783661,0.2940616309642792,0.3872329890727997,0.5986114144325256,1.1316129863262177,204.79976135492328,0.4586850453615188,8.23918147087097,3.747194921970368,3.684800180792809,2.6274193906784054,1.3582195281982423
21,21,Miguel Cabrera,DET,1B,148.1816526055336,646.2245048880577,169.14333200454712,22.56979045271873,83.36884278059004,90.1755264401436,3.288293704390526,53.13100814819336,0.2940616309642792,0.3872329890727997,0.7953150272369385,1.2884050011634829,234.4711029529572,0.532390803694725,23.509401607513425,3.8937849760055543,3.735973828434944,2.941266298294067,1.9517633438110356
22,22,Corey Seager,LAD,SS,147.62434470653534,645.8854936361313,169.14199304580688,19.447941720485687,83.25400418043135,90.06589818000793,18.82342994213104,41.04992651939392,0.2940616309642792,0.3872329890727997,0.7360173463821411,1.2458484470844269,223.71879559755328,0.5101181150078773,21.70118379592895,3.88925633430481,3.730566505789757,2.939515237808227,1.9517633438110356
23,23,Daniel Murphy,WSN,2B,144.98339140415192,644.4961896538734,169.13983011245728,18.67389303445816,78.08465427160262,90.06047582626343,12.42308497428894,37.79084348678589,0.2940616309642792,0.3872329890727997,0.7910159826278687,1.2915677726268768,230.0974439382553,0.5288725769519805,23.202650642395017,3.892775481939316,3.7246709260344506,2.89906730890274,1.9517633438110356
24,24,Anthony Rizzo,CHC,1B,148.15392875671387,645.7568863630295,169.14038372039795,21.08885708451271,82.30219423770903,90.1487238407135,10.846531599760056,48.61120104789734,0.2940616309642792,0.3872329890727997,0.7658124566078186,1.264389306306839,228.7930712103844,0.5234351121783256,23.38190755844116,3.9006699383258825,3.734777579307557,3.0503564119338984,1.9517633438110356
25,25,Joey Votto,CIN,1B,147.39662337303162,645.8520575165749,169.14129781723022,20.68912971019745,83.70805799961089,90.15967953205109,10.623686283826828,55.420549154281616,0.2940616309642792,0.3872329890727997,0.7618198394775391,1.2934149205684662,234.52983564138412,0.53807545119524,23.46230907440185,3.895189380645753,3.732095430493355,3.0447329711914057,1.9517633438110356
26,26,DJ LeMahieu,COL,2B,149.01663082838058,645.4669885635376,169.1408987045288,12.679817348718643,79.20448458194731,80.57100003957748,26.662561416625977,39.54028654098511,0.2940616309642792,0.3872329890727997,0.6692330241203308,1.2112006545066831,217.7854021787644,0.5003088694810868,13.967651748657223,3.788505947589875,3.6984298914670943,2.737754611968993,1.655214023590088
27,27,Ender Inciarte,ATL,CF,144.60317450761795,616.2210569381714,153.00985765457153,5.165144063532352,54.168379426002495,50.75333806872368,32.287822127342224,26.78143435716629,0.2940616309642792,0.3872329890727997,0.5057451725006104,1.058479070663452,179.8635221719742,0.4301747127771377,-4.642964029312136,2.803368037939072,3.000317877829075,1.5915624451637265,0.5883039474487306
28,28,Paul Goldschmidt,ARI,1B,149.248133122921,646.0370854735374,169.14042234420776,19.342165768146515,84.58565247058867,90.08965665102004,31.407774925231934,53.720521450042725,0.2940616309642792,0.3872329890727997,0.6722025275230408,1.230997234582901,222.56362825632095,0.5002337300777435,20.80191707611084,3.8973197698593145,3.713612344264984,3.0252616286277765,1.9517633438110356
29,29,Jonathan Lucroy,- - -,C,139.99985444545746,626.6443575620651,157.37326669692993,14.699810832738876,64.17446959018707,78.7684320807457,8.367892980575562,35.0990275144577,0.2940616309642792,0.3872329890727997,0.6744723916053772,1.1772737503051758,204.25379341840747,0.4837660229802131,11.59350218772888,3.0460468441247945,3.356114790737629,1.6918897557258603,1.421882438659668
